#id	length	GC	avg.qual	sample
m64279e_220622_130322/246/ccs	1477	55.31	25.36	4170_bc1005--bc1096
m64279e_220622_130322/575/ccs	1472	53.74	40.34	4170_bc1005--bc1096
m64279e_220622_130322/683/ccs	1474	51.02	34.14	4170_bc1005--bc1096
m64279e_220622_130322/1159/ccs	1472	55.16	93.00	4170_bc1005--bc1096
m64279e_220622_130322/1330/ccs	1464	54.85	37.81	4170_bc1005--bc1096
m64279e_220622_130322/1617/ccs	1464	54.85	60.51	4170_bc1005--bc1096
m64279e_220622_130322/1626/ccs	1472	53.74	66.27	4170_bc1005--bc1096
m64279e_220622_130322/1927/ccs	1469	55.00	25.74	4170_bc1005--bc1096
m64279e_220622_130322/2393/ccs	1498	52.87	81.28	4170_bc1005--bc1096
m64279e_220622_130322/2727/ccs	1464	54.85	82.55	4170_bc1005--bc1096
m64279e_220622_130322/65909/ccs	1473	53.84	29.65	4170_bc1005--bc1096
m64279e_220622_130322/66090/ccs	1481	55.10	23.45	4170_bc1005--bc1096
m64279e_220622_130322/66482/ccs	1486	53.16	24.52	4170_bc1005--bc1096
m64279e_220622_130322/66629/ccs	1498	52.87	73.67	4170_bc1005--bc1096
m64279e_220622_130322/66696/ccs	1485	54.01	38.72	4170_bc1005--bc1096
m64279e_220622_130322/67280/ccs	1472	55.23	25.77	4170_bc1005--bc1096
m64279e_220622_130322/67289/ccs	1472	53.87	93.00	4170_bc1005--bc1096
m64279e_220622_130322/67296/ccs	1467	55.15	25.89	4170_bc1005--bc1096
m64279e_220622_130322/67456/ccs	1474	51.09	87.78	4170_bc1005--bc1096
m64279e_220622_130322/67494/ccs	1472	55.16	49.25	4170_bc1005--bc1096
m64279e_220622_130322/67829/ccs	1483	54.08	93.00	4170_bc1005--bc1096
m64279e_220622_130322/67898/ccs	1464	54.85	92.96	4170_bc1005--bc1096
m64279e_220622_130322/68099/ccs	1471	53.70	32.74	4170_bc1005--bc1096
m64279e_220622_130322/68130/ccs	1473	55.19	41.10	4170_bc1005--bc1096
m64279e_220622_130322/68173/ccs	1472	55.23	93.00	4170_bc1005--bc1096
m64279e_220622_130322/131080/ccs	1465	54.81	34.57	4170_bc1005--bc1096
m64279e_220622_130322/131088/ccs	1498	53.07	93.00	4170_bc1005--bc1096
m64279e_220622_130322/131435/ccs	1475	50.98	36.68	4170_bc1005--bc1096
m64279e_220622_130322/131742/ccs	1472	53.80	35.98	4170_bc1005--bc1096
m64279e_220622_130322/132400/ccs	1474	51.09	46.25	4170_bc1005--bc1096
m64279e_220622_130322/132420/ccs	1474	51.09	71.05	4170_bc1005--bc1096
m64279e_220622_130322/132959/ccs	1473	55.19	35.67	4170_bc1005--bc1096
m64279e_220622_130322/133109/ccs	1472	53.80	93.00	4170_bc1005--bc1096
m64279e_220622_130322/133115/ccs	1499	53.10	31.30	4170_bc1005--bc1096
m64279e_220622_130322/133284/ccs	1474	51.09	59.42	4170_bc1005--bc1096
m64279e_220622_130322/133337/ccs	1482	54.86	60.30	4170_bc1005--bc1096
m64279e_220622_130322/133392/ccs	1474	51.02	93.00	4170_bc1005--bc1096
m64279e_220622_130322/133456/ccs	1474	51.09	93.00	4170_bc1005--bc1096
m64279e_220622_130322/133604/ccs	1498	52.87	62.45	4170_bc1005--bc1096
m64279e_220622_130322/133669/ccs	1472	55.23	29.78	4170_bc1005--bc1096
m64279e_220622_130322/133700/ccs	1473	55.33	27.57	4170_bc1005--bc1096
m64279e_220622_130322/133873/ccs	1464	54.78	93.00	4170_bc1005--bc1096
m64279e_220622_130322/197035/ccs	1475	53.83	38.88	4170_bc1005--bc1096
m64279e_220622_130322/197478/ccs	1472	53.80	93.00	4170_bc1005--bc1096
m64279e_220622_130322/197627/ccs	1464	54.85	67.45	4170_bc1005--bc1096
m64279e_220622_130322/197756/ccs	1464	54.85	52.62	4170_bc1005--bc1096
m64279e_220622_130322/197821/ccs	1483	54.01	93.00	4170_bc1005--bc1096
m64279e_220622_130322/197909/ccs	1485	50.84	23.80	4170_bc1005--bc1096
m64279e_220622_130322/198390/ccs	1464	54.85	69.64	4170_bc1005--bc1096
m64279e_220622_130322/198653/ccs	1464	54.78	35.51	4170_bc1005--bc1096
m64279e_220622_130322/198773/ccs	1472	53.67	39.41	4170_bc1005--bc1096
m64279e_220622_130322/199105/ccs	1462	54.92	29.57	4170_bc1005--bc1096
m64279e_220622_130322/199414/ccs	1473	51.12	37.61	4170_bc1005--bc1096
m64279e_220622_130322/262226/ccs	1464	54.99	33.19	4170_bc1005--bc1096
