#id	length	GC	avg.qual	sample
m64279e_221001_075606/81/ccs	1453	54.37	24.46	4296_bc1022--bc1060
m64279e_221001_075606/241/ccs	1473	53.70	93.00	4296_bc1022--bc1060
m64279e_221001_075606/296/ccs	2178	54.78	23.63	4296_bc1022--bc1060
m64279e_221001_075606/339/ccs	1482	53.17	24.19	4296_bc1022--bc1060
m64279e_221001_075606/349/ccs	1464	54.85	36.65	4296_bc1022--bc1060
m64279e_221001_075606/559/ccs	1465	54.81	34.65	4296_bc1022--bc1060
m64279e_221001_075606/673/ccs	1472	53.74	72.66	4296_bc1022--bc1060
m64279e_221001_075606/684/ccs	1474	55.29	26.10	4296_bc1022--bc1060
m64279e_221001_075606/785/ccs	1485	55.02	31.41	4296_bc1022--bc1060
m64279e_221001_075606/833/ccs	1471	55.20	27.68	4296_bc1022--bc1060
m64279e_221001_075606/1141/ccs	1463	54.82	37.19	4296_bc1022--bc1060
m64279e_221001_075606/1573/ccs	1490	54.97	25.53	4296_bc1022--bc1060
m64279e_221001_075606/1619/ccs	1464	54.92	93.00	4296_bc1022--bc1060
m64279e_221001_075606/2105/ccs	1476	54.20	22.34	4296_bc1022--bc1060
m64279e_221001_075606/2175/ccs	1472	55.30	93.00	4296_bc1022--bc1060
m64279e_221001_075606/2176/ccs	1471	53.77	33.38	4296_bc1022--bc1060
m64279e_221001_075606/2500/ccs	1471	55.20	25.04	4296_bc1022--bc1060
m64279e_221001_075606/2550/ccs	1472	53.80	93.00	4296_bc1022--bc1060
m64279e_221001_075606/2741/ccs	1500	54.00	36.63	4296_bc1022--bc1060
m64279e_221001_075606/2833/ccs	1458	54.32	93.00	4296_bc1022--bc1060
m64279e_221001_075606/2897/ccs	1447	54.11	26.62	4296_bc1022--bc1060
m64279e_221001_075606/2901/ccs	1477	51.32	29.56	4296_bc1022--bc1060
m64279e_221001_075606/65766/ccs	1498	53.07	93.00	4296_bc1022--bc1060
m64279e_221001_075606/66023/ccs	1482	53.10	25.31	4296_bc1022--bc1060
m64279e_221001_075606/66108/ccs	1465	54.95	34.26	4296_bc1022--bc1060
m64279e_221001_075606/66254/ccs	1463	54.82	34.95	4296_bc1022--bc1060
m64279e_221001_075606/66280/ccs	1472	55.23	68.54	4296_bc1022--bc1060
