#id	length	GC	avg.qual	sample
m64279e_220930_115600/121/ccs	1471	55.20	58.51	4285_bc1022--bc1107
m64279e_220930_115600/341/ccs	1471	55.20	71.85	4285_bc1022--bc1107
m64279e_220930_115600/950/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1041/ccs	1472	51.02	32.55	4285_bc1022--bc1107
m64279e_220930_115600/1885/ccs	1471	53.77	47.21	4285_bc1022--bc1107
m64279e_220930_115600/2071/ccs	1472	55.23	93.00	4285_bc1022--bc1107
m64279e_220930_115600/2167/ccs	1483	54.01	93.00	4285_bc1022--bc1107
m64279e_220930_115600/65759/ccs	1465	53.72	25.12	4285_bc1022--bc1107
m64279e_220930_115600/65856/ccs	1478	54.40	28.39	4285_bc1022--bc1107
m64279e_220930_115600/65998/ccs	1476	53.73	31.91	4285_bc1022--bc1107
m64279e_220930_115600/66074/ccs	1464	54.85	92.83	4285_bc1022--bc1107
m64279e_220930_115600/66894/ccs	1497	53.04	36.77	4285_bc1022--bc1107
m64279e_220930_115600/66976/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/67185/ccs	1465	54.81	45.66	4285_bc1022--bc1107
m64279e_220930_115600/67776/ccs	1471	53.70	36.76	4285_bc1022--bc1107
m64279e_220930_115600/67949/ccs	1472	55.23	67.59	4285_bc1022--bc1107
m64279e_220930_115600/131171/ccs	1464	54.92	93.00	4285_bc1022--bc1107
m64279e_220930_115600/131843/ccs	1472	55.23	61.19	4285_bc1022--bc1107
m64279e_220930_115600/132632/ccs	1465	54.88	31.25	4285_bc1022--bc1107
m64279e_220930_115600/132741/ccs	1472	55.23	93.00	4285_bc1022--bc1107
m64279e_220930_115600/133898/ccs	1498	52.80	92.86	4285_bc1022--bc1107
m64279e_220930_115600/196916/ccs	1464	54.92	38.65	4285_bc1022--bc1107
m64279e_220930_115600/196950/ccs	1498	53.00	92.91	4285_bc1022--bc1107
m64279e_220930_115600/197034/ccs	1468	53.75	46.60	4285_bc1022--bc1107
m64279e_220930_115600/198565/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/198577/ccs	1471	51.19	23.76	4285_bc1022--bc1107
m64279e_220930_115600/198824/ccs	1498	52.87	68.72	4285_bc1022--bc1107
m64279e_220930_115600/199005/ccs	1483	54.01	93.00	4285_bc1022--bc1107
m64279e_220930_115600/199246/ccs	1483	53.94	93.00	4285_bc1022--bc1107
m64279e_220930_115600/199247/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/262445/ccs	1472	55.30	93.00	4285_bc1022--bc1107
m64279e_220930_115600/262584/ccs	1475	50.98	92.65	4285_bc1022--bc1107
m64279e_220930_115600/262737/ccs	1474	51.09	36.89	4285_bc1022--bc1107
m64279e_220930_115600/262738/ccs	1480	53.38	21.41	4285_bc1022--bc1107
m64279e_220930_115600/262846/ccs	1464	54.85	61.86	4285_bc1022--bc1107
m64279e_220930_115600/263616/ccs	1474	51.09	92.99	4285_bc1022--bc1107
m64279e_220930_115600/263821/ccs	1472	53.80	93.00	4285_bc1022--bc1107
m64279e_220930_115600/264581/ccs	1474	51.09	92.99	4285_bc1022--bc1107
m64279e_220930_115600/329132/ccs	1472	55.23	50.68	4285_bc1022--bc1107
m64279e_220930_115600/329275/ccs	1474	51.02	93.00	4285_bc1022--bc1107
m64279e_220930_115600/329519/ccs	1473	51.05	37.42	4285_bc1022--bc1107
m64279e_220930_115600/329569/ccs	1472	55.23	34.40	4285_bc1022--bc1107
m64279e_220930_115600/329713/ccs	1458	54.32	65.63	4285_bc1022--bc1107
m64279e_220930_115600/330214/ccs	1465	53.92	25.35	4285_bc1022--bc1107
m64279e_220930_115600/330385/ccs	1498	52.87	92.95	4285_bc1022--bc1107
m64279e_220930_115600/393635/ccs	1466	54.91	31.98	4285_bc1022--bc1107
m64279e_220930_115600/394567/ccs	1473	50.98	38.17	4285_bc1022--bc1107
m64279e_220930_115600/395316/ccs	1483	54.01	36.47	4285_bc1022--bc1107
m64279e_220930_115600/395345/ccs	1498	52.87	93.00	4285_bc1022--bc1107
m64279e_220930_115600/395569/ccs	1472	54.89	23.87	4285_bc1022--bc1107
m64279e_220930_115600/395987/ccs	1483	54.01	93.00	4285_bc1022--bc1107
m64279e_220930_115600/459323/ccs	1483	54.01	93.00	4285_bc1022--bc1107
m64279e_220930_115600/460098/ccs	1469	55.28	22.83	4285_bc1022--bc1107
m64279e_220930_115600/460124/ccs	1458	54.32	93.00	4285_bc1022--bc1107
m64279e_220930_115600/460571/ccs	1474	53.80	32.70	4285_bc1022--bc1107
m64279e_220930_115600/460971/ccs	1465	54.95	37.42	4285_bc1022--bc1107
m64279e_220930_115600/461294/ccs	1485	53.06	20.43	4285_bc1022--bc1107
m64279e_220930_115600/461333/ccs	1477	51.12	31.48	4285_bc1022--bc1107
m64279e_220930_115600/461406/ccs	1472	55.16	76.39	4285_bc1022--bc1107
m64279e_220930_115600/461584/ccs	1474	51.02	92.49	4285_bc1022--bc1107
m64279e_220930_115600/524369/ccs	1472	55.16	92.93	4285_bc1022--bc1107
m64279e_220930_115600/524728/ccs	1457	54.29	72.02	4285_bc1022--bc1107
m64279e_220930_115600/524965/ccs	1472	53.74	44.67	4285_bc1022--bc1107
m64279e_220930_115600/524991/ccs	1458	54.32	82.26	4285_bc1022--bc1107
m64279e_220930_115600/525315/ccs	1472	55.30	92.72	4285_bc1022--bc1107
m64279e_220930_115600/525479/ccs	1472	53.80	48.68	4285_bc1022--bc1107
m64279e_220930_115600/525671/ccs	1497	52.84	71.21	4285_bc1022--bc1107
m64279e_220930_115600/525715/ccs	1498	53.14	26.35	4285_bc1022--bc1107
m64279e_220930_115600/526149/ccs	1502	53.00	28.54	4285_bc1022--bc1107
m64279e_220930_115600/526195/ccs	1484	53.98	92.72	4285_bc1022--bc1107
m64279e_220930_115600/526440/ccs	1474	51.09	39.99	4285_bc1022--bc1107
m64279e_220930_115600/527147/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/590060/ccs	1472	53.80	34.89	4285_bc1022--bc1107
m64279e_220930_115600/590500/ccs	1464	54.85	42.75	4285_bc1022--bc1107
m64279e_220930_115600/590518/ccs	1454	55.09	27.01	4285_bc1022--bc1107
m64279e_220930_115600/590839/ccs	1498	52.80	93.00	4285_bc1022--bc1107
m64279e_220930_115600/591279/ccs	1472	53.80	93.00	4285_bc1022--bc1107
m64279e_220930_115600/591464/ccs	1472	53.80	93.00	4285_bc1022--bc1107
m64279e_220930_115600/591987/ccs	1482	54.05	34.50	4285_bc1022--bc1107
m64279e_220930_115600/592167/ccs	1464	54.99	72.26	4285_bc1022--bc1107
m64279e_220930_115600/592534/ccs	1498	52.80	68.74	4285_bc1022--bc1107
m64279e_220930_115600/592714/ccs	1464	54.78	81.42	4285_bc1022--bc1107
m64279e_220930_115600/656230/ccs	1464	54.92	93.00	4285_bc1022--bc1107
m64279e_220930_115600/656333/ccs	1498	52.87	93.00	4285_bc1022--bc1107
m64279e_220930_115600/656706/ccs	1472	53.80	93.00	4285_bc1022--bc1107
m64279e_220930_115600/657084/ccs	1472	53.80	39.60	4285_bc1022--bc1107
m64279e_220930_115600/657298/ccs	1483	54.01	93.00	4285_bc1022--bc1107
m64279e_220930_115600/721129/ccs	1474	51.02	52.68	4285_bc1022--bc1107
m64279e_220930_115600/721145/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/721245/ccs	1468	54.90	33.88	4285_bc1022--bc1107
m64279e_220930_115600/721284/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/722111/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/722228/ccs	1472	55.30	93.00	4285_bc1022--bc1107
m64279e_220930_115600/722431/ccs	1472	55.30	47.66	4285_bc1022--bc1107
m64279e_220930_115600/722466/ccs	1479	52.94	27.50	4285_bc1022--bc1107
m64279e_220930_115600/722501/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/723237/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/723605/ccs	1472	55.23	93.00	4285_bc1022--bc1107
m64279e_220930_115600/786437/ccs	1481	54.02	33.68	4285_bc1022--bc1107
m64279e_220930_115600/786691/ccs	1472	53.74	93.00	4285_bc1022--bc1107
m64279e_220930_115600/786960/ccs	1498	53.07	92.96	4285_bc1022--bc1107
m64279e_220930_115600/787039/ccs	1467	54.81	44.02	4285_bc1022--bc1107
m64279e_220930_115600/787235/ccs	1472	53.74	58.41	4285_bc1022--bc1107
m64279e_220930_115600/788008/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/788360/ccs	1469	54.53	29.85	4285_bc1022--bc1107
m64279e_220930_115600/788620/ccs	1556	52.06	29.53	4285_bc1022--bc1107
m64279e_220930_115600/788975/ccs	1472	53.74	93.00	4285_bc1022--bc1107
m64279e_220930_115600/788994/ccs	1472	55.16	66.28	4285_bc1022--bc1107
m64279e_220930_115600/789247/ccs	1467	55.01	28.48	4285_bc1022--bc1107
m64279e_220930_115600/852372/ccs	1458	54.25	74.57	4285_bc1022--bc1107
m64279e_220930_115600/852740/ccs	1474	51.09	79.04	4285_bc1022--bc1107
m64279e_220930_115600/853080/ccs	1464	54.78	93.00	4285_bc1022--bc1107
m64279e_220930_115600/853367/ccs	1481	53.21	27.34	4285_bc1022--bc1107
m64279e_220930_115600/853555/ccs	1474	55.29	31.62	4285_bc1022--bc1107
m64279e_220930_115600/853650/ccs	1472	53.80	93.00	4285_bc1022--bc1107
m64279e_220930_115600/854403/ccs	1456	54.74	25.72	4285_bc1022--bc1107
m64279e_220930_115600/854724/ccs	1459	54.69	29.26	4285_bc1022--bc1107
m64279e_220930_115600/854866/ccs	1506	52.79	24.97	4285_bc1022--bc1107
m64279e_220930_115600/854879/ccs	1451	54.72	23.34	4285_bc1022--bc1107
m64279e_220930_115600/917605/ccs	1496	53.21	34.03	4285_bc1022--bc1107
m64279e_220930_115600/918199/ccs	1472	53.80	53.19	4285_bc1022--bc1107
m64279e_220930_115600/918343/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/918981/ccs	1474	51.02	23.12	4285_bc1022--bc1107
m64279e_220930_115600/919373/ccs	1458	54.32	54.59	4285_bc1022--bc1107
m64279e_220930_115600/919424/ccs	1464	54.85	92.98	4285_bc1022--bc1107
m64279e_220930_115600/919762/ccs	1472	53.80	93.00	4285_bc1022--bc1107
m64279e_220930_115600/919806/ccs	1458	54.32	93.00	4285_bc1022--bc1107
m64279e_220930_115600/919829/ccs	1472	55.23	91.34	4285_bc1022--bc1107
m64279e_220930_115600/919971/ccs	1472	53.80	35.64	4285_bc1022--bc1107
m64279e_220930_115600/920080/ccs	1471	53.77	22.50	4285_bc1022--bc1107
m64279e_220930_115600/983495/ccs	1471	53.70	93.00	4285_bc1022--bc1107
m64279e_220930_115600/983612/ccs	1472	55.10	92.10	4285_bc1022--bc1107
m64279e_220930_115600/983626/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/983731/ccs	1458	54.32	31.62	4285_bc1022--bc1107
m64279e_220930_115600/983930/ccs	1498	52.87	59.72	4285_bc1022--bc1107
m64279e_220930_115600/984107/ccs	1456	54.74	25.26	4285_bc1022--bc1107
m64279e_220930_115600/984203/ccs	1473	55.33	75.60	4285_bc1022--bc1107
m64279e_220930_115600/984591/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/984681/ccs	1473	50.92	32.91	4285_bc1022--bc1107
m64279e_220930_115600/984937/ccs	1464	54.64	93.00	4285_bc1022--bc1107
m64279e_220930_115600/985019/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/985204/ccs	1468	55.25	28.45	4285_bc1022--bc1107
m64279e_220930_115600/985331/ccs	1471	53.70	34.98	4285_bc1022--bc1107
m64279e_220930_115600/985473/ccs	1458	54.32	76.54	4285_bc1022--bc1107
m64279e_220930_115600/1048886/ccs	1473	53.84	48.31	4285_bc1022--bc1107
m64279e_220930_115600/1048975/ccs	1457	54.29	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1049039/ccs	1498	53.07	90.34	4285_bc1022--bc1107
m64279e_220930_115600/1049137/ccs	1481	53.95	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1049935/ccs	1464	54.85	40.21	4285_bc1022--bc1107
m64279e_220930_115600/1050037/ccs	1473	55.19	39.68	4285_bc1022--bc1107
m64279e_220930_115600/1050786/ccs	1458	54.32	34.65	4285_bc1022--bc1107
m64279e_220930_115600/1050962/ccs	1475	51.12	56.26	4285_bc1022--bc1107
m64279e_220930_115600/1114178/ccs	1472	55.23	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1114300/ccs	1469	54.80	23.79	4285_bc1022--bc1107
m64279e_220930_115600/1114676/ccs	1498	53.07	69.70	4285_bc1022--bc1107
m64279e_220930_115600/1114726/ccs	1498	53.07	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1114729/ccs	1474	50.95	24.38	4285_bc1022--bc1107
m64279e_220930_115600/1114847/ccs	1458	54.32	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1115039/ccs	1483	54.01	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1115202/ccs	1472	55.23	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1115438/ccs	1473	55.26	30.62	4285_bc1022--bc1107
m64279e_220930_115600/1115456/ccs	1472	53.74	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1115576/ccs	1473	51.05	43.68	4285_bc1022--bc1107
m64279e_220930_115600/1115861/ccs	1464	54.92	67.04	4285_bc1022--bc1107
m64279e_220930_115600/1115952/ccs	1498	54.34	23.94	4285_bc1022--bc1107
m64279e_220930_115600/1115979/ccs	1458	54.32	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1116330/ccs	1472	55.23	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1116509/ccs	1486	55.45	26.84	4285_bc1022--bc1107
m64279e_220930_115600/1116597/ccs	1472	53.80	61.38	4285_bc1022--bc1107
m64279e_220930_115600/1179811/ccs	1474	51.09	59.32	4285_bc1022--bc1107
m64279e_220930_115600/1180544/ccs	1472	55.23	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1180955/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1181694/ccs	1472	55.23	92.91	4285_bc1022--bc1107
m64279e_220930_115600/1182332/ccs	1498	53.07	37.42	4285_bc1022--bc1107
m64279e_220930_115600/1182426/ccs	1483	54.01	92.96	4285_bc1022--bc1107
m64279e_220930_115600/1245964/ccs	1476	51.22	25.59	4285_bc1022--bc1107
m64279e_220930_115600/1246022/ccs	1473	51.05	48.64	4285_bc1022--bc1107
m64279e_220930_115600/1246736/ccs	1498	52.87	63.16	4285_bc1022--bc1107
m64279e_220930_115600/1246742/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1246915/ccs	1463	54.82	31.07	4285_bc1022--bc1107
m64279e_220930_115600/1247672/ccs	1460	54.86	26.59	4285_bc1022--bc1107
m64279e_220930_115600/1247674/ccs	1475	53.29	26.39	4285_bc1022--bc1107
m64279e_220930_115600/1247984/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1248077/ccs	1464	54.85	80.41	4285_bc1022--bc1107
m64279e_220930_115600/1310885/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1311045/ccs	1508	53.18	31.21	4285_bc1022--bc1107
m64279e_220930_115600/1312044/ccs	1498	52.87	42.26	4285_bc1022--bc1107
m64279e_220930_115600/1313002/ccs	1498	53.07	56.23	4285_bc1022--bc1107
m64279e_220930_115600/1313168/ccs	1498	52.87	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1313398/ccs	1498	53.00	61.08	4285_bc1022--bc1107
m64279e_220930_115600/1313481/ccs	1461	55.03	28.57	4285_bc1022--bc1107
m64279e_220930_115600/1377190/ccs	1464	54.78	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1377482/ccs	1472	55.30	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1377693/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1377720/ccs	1483	51.05	21.12	4285_bc1022--bc1107
m64279e_220930_115600/1378037/ccs	1487	52.45	21.77	4285_bc1022--bc1107
m64279e_220930_115600/1442184/ccs	1471	53.77	33.70	4285_bc1022--bc1107
m64279e_220930_115600/1442400/ccs	1483	54.01	92.59	4285_bc1022--bc1107
m64279e_220930_115600/1443039/ccs	1506	52.99	73.72	4285_bc1022--bc1107
m64279e_220930_115600/1444233/ccs	1472	53.80	29.95	4285_bc1022--bc1107
m64279e_220930_115600/1444408/ccs	1483	54.01	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1444615/ccs	1464	54.85	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1507490/ccs	1475	55.12	24.30	4285_bc1022--bc1107
m64279e_220930_115600/1507537/ccs	1471	55.27	92.97	4285_bc1022--bc1107
m64279e_220930_115600/1507873/ccs	1460	54.79	30.05	4285_bc1022--bc1107
m64279e_220930_115600/1507891/ccs	1474	51.09	93.00	4285_bc1022--bc1107
m64279e_220930_115600/1508694/ccs	1479	53.75	23.21	4285_bc1022--bc1107
m64279e_220930_115600/1508862/ccs	1473	53.77	64.54	4285_bc1022--bc1107
m64279e_220930_115600/1509190/ccs	1472	53.67	71.30	4285_bc1022--bc1107
m64279e_220930_115600/1509652/ccs	1464	54.85	90.01	4285_bc1022--bc1107
m64279e_220930_115600/1510114/ccs	1473	50.98	27.13	4285_bc1022--bc1107
m64279e_220930_115600/1510205/ccs	1483	54.01	93.00	4285_bc1022--bc1107
