#id	length	GC	avg.qual	sample
m64279e_220504_001439/344/ccs	1462	54.86	33.73	4128_bc1005--bc1107
m64279e_220504_001439/405/ccs	1483	53.94	91.94	4128_bc1005--bc1107
m64279e_220504_001439/916/ccs	1464	54.99	87.27	4128_bc1005--bc1107
m64279e_220504_001439/1201/ccs	1472	55.30	36.07	4128_bc1005--bc1107
m64279e_220504_001439/1205/ccs	1469	53.78	28.74	4128_bc1005--bc1107
m64279e_220504_001439/1441/ccs	1478	54.67	28.84	4128_bc1005--bc1107
m64279e_220504_001439/2027/ccs	1464	54.85	86.52	4128_bc1005--bc1107
m64279e_220504_001439/2041/ccs	1472	53.74	93.00	4128_bc1005--bc1107
m64279e_220504_001439/2442/ccs	1499	52.84	34.60	4128_bc1005--bc1107
m64279e_220504_001439/2540/ccs	1498	53.07	38.18	4128_bc1005--bc1107
m64279e_220504_001439/2654/ccs	1475	51.05	27.85	4128_bc1005--bc1107
m64279e_220504_001439/66694/ccs	1472	53.74	92.15	4128_bc1005--bc1107
m64279e_220504_001439/67700/ccs	1485	51.58	21.24	4128_bc1005--bc1107
m64279e_220504_001439/67909/ccs	1474	51.02	46.83	4128_bc1005--bc1107
m64279e_220504_001439/68017/ccs	1474	51.15	57.98	4128_bc1005--bc1107
m64279e_220504_001439/131188/ccs	1473	55.19	55.89	4128_bc1005--bc1107
m64279e_220504_001439/131390/ccs	1498	53.07	73.70	4128_bc1005--bc1107
m64279e_220504_001439/132467/ccs	1474	51.09	55.58	4128_bc1005--bc1107
m64279e_220504_001439/133911/ccs	1498	53.00	21.98	4128_bc1005--bc1107
m64279e_220504_001439/197434/ccs	1465	54.74	45.77	4128_bc1005--bc1107
m64279e_220504_001439/197604/ccs	1456	54.05	21.24	4128_bc1005--bc1107
m64279e_220504_001439/197609/ccs	1474	51.22	30.15	4128_bc1005--bc1107
m64279e_220504_001439/197685/ccs	1498	53.07	93.00	4128_bc1005--bc1107
m64279e_220504_001439/197707/ccs	1473	53.70	25.55	4128_bc1005--bc1107
m64279e_220504_001439/197956/ccs	1463	54.82	35.65	4128_bc1005--bc1107
m64279e_220504_001439/198017/ccs	1475	52.54	29.17	4128_bc1005--bc1107
m64279e_220504_001439/198224/ccs	1472	55.16	93.00	4128_bc1005--bc1107
m64279e_220504_001439/198636/ccs	1464	54.85	34.67	4128_bc1005--bc1107
m64279e_220504_001439/198655/ccs	1471	54.66	93.00	4128_bc1005--bc1107
m64279e_220504_001439/198902/ccs	1499	53.04	35.60	4128_bc1005--bc1107
m64279e_220504_001439/199372/ccs	1462	54.79	37.77	4128_bc1005--bc1107
m64279e_220504_001439/262287/ccs	1470	55.17	30.07	4128_bc1005--bc1107
m64279e_220504_001439/262395/ccs	1471	51.26	25.65	4128_bc1005--bc1107
m64279e_220504_001439/262519/ccs	1468	55.25	20.34	4128_bc1005--bc1107
m64279e_220504_001439/262588/ccs	1472	53.46	31.46	4128_bc1005--bc1107
m64279e_220504_001439/263066/ccs	1464	54.78	28.71	4128_bc1005--bc1107
m64279e_220504_001439/263114/ccs	1472	55.23	92.94	4128_bc1005--bc1107
m64279e_220504_001439/263313/ccs	1473	51.12	43.55	4128_bc1005--bc1107
m64279e_220504_001439/263408/ccs	1472	55.23	91.94	4128_bc1005--bc1107
m64279e_220504_001439/264640/ccs	1464	54.78	92.89	4128_bc1005--bc1107
m64279e_220504_001439/328018/ccs	1466	53.07	27.73	4128_bc1005--bc1107
m64279e_220504_001439/328431/ccs	1469	54.12	27.89	4128_bc1005--bc1107
m64279e_220504_001439/329537/ccs	1475	51.05	44.69	4128_bc1005--bc1107
m64279e_220504_001439/329812/ccs	1472	53.74	72.64	4128_bc1005--bc1107
m64279e_220504_001439/329949/ccs	1477	54.50	26.30	4128_bc1005--bc1107
m64279e_220504_001439/330105/ccs	1474	51.09	92.82	4128_bc1005--bc1107
m64279e_220504_001439/330224/ccs	1477	52.34	25.09	4128_bc1005--bc1107
m64279e_220504_001439/330231/ccs	1472	55.16	43.05	4128_bc1005--bc1107
m64279e_220504_001439/330323/ccs	1466	54.84	34.39	4128_bc1005--bc1107
m64279e_220504_001439/393545/ccs	1468	55.11	26.97	4128_bc1005--bc1107
m64279e_220504_001439/393640/ccs	1487	54.74	24.89	4128_bc1005--bc1107
m64279e_220504_001439/394983/ccs	1507	52.22	27.14	4128_bc1005--bc1107
m64279e_220504_001439/395344/ccs	1464	54.85	47.84	4128_bc1005--bc1107
m64279e_220504_001439/395886/ccs	1464	54.99	39.29	4128_bc1005--bc1107
m64279e_220504_001439/395990/ccs	1474	51.09	38.22	4128_bc1005--bc1107
m64279e_220504_001439/458984/ccs	1473	53.77	93.00	4128_bc1005--bc1107
m64279e_220504_001439/459592/ccs	1472	53.80	93.00	4128_bc1005--bc1107
m64279e_220504_001439/460683/ccs	1472	53.80	36.46	4128_bc1005--bc1107
m64279e_220504_001439/460880/ccs	1508	52.98	59.47	4128_bc1005--bc1107
m64279e_220504_001439/460906/ccs	1478	51.62	32.93	4128_bc1005--bc1107
