#id	length	GC	avg.qual	sample
m64279e_221216_133213/144/ccs/fwd	1483	54.01	48.13	4356_bc1005--bc1112
m64279e_221216_133213/144/ccs/rev	1483	54.01	32.90	4356_bc1005--bc1112
m64279e_221216_133213/458/ccs	1474	51.02	89.16	4356_bc1005--bc1112
m64279e_221216_133213/782/ccs	1464	54.85	57.87	4356_bc1005--bc1112
m64279e_221216_133213/870/ccs	1474	51.02	55.57	4356_bc1005--bc1112
m64279e_221216_133213/1025/ccs	1471	53.70	35.48	4356_bc1005--bc1112
m64279e_221216_133213/1151/ccs	1464	54.85	90.23	4356_bc1005--bc1112
m64279e_221216_133213/1155/ccs	1472	55.23	86.77	4356_bc1005--bc1112
m64279e_221216_133213/1490/ccs	1455	54.78	27.05	4356_bc1005--bc1112
m64279e_221216_133213/1596/ccs/fwd	1483	54.01	57.43	4356_bc1005--bc1112
m64279e_221216_133213/1596/ccs/rev	1483	54.01	36.71	4356_bc1005--bc1112
m64279e_221216_133213/1608/ccs	1498	53.07	93.00	4356_bc1005--bc1112
m64279e_221216_133213/2009/ccs/fwd	1498	53.00	58.73	4356_bc1005--bc1112
m64279e_221216_133213/2009/ccs/rev	1498	53.00	76.31	4356_bc1005--bc1112
m64279e_221216_133213/2025/ccs	1498	53.00	87.29	4356_bc1005--bc1112
m64279e_221216_133213/2300/ccs/fwd	1474	55.16	31.07	4356_bc1005--bc1112
m64279e_221216_133213/2300/ccs/rev	1476	55.35	31.92	4356_bc1005--bc1112
m64279e_221216_133213/2497/ccs	1472	55.23	82.17	4356_bc1005--bc1112
m64279e_221216_133213/65862/ccs/fwd	1463	53.45	29.54	4356_bc1005--bc1112
m64279e_221216_133213/65862/ccs/rev	1467	53.58	30.35	4356_bc1005--bc1112
m64279e_221216_133213/65907/ccs	1458	54.32	92.97	4356_bc1005--bc1112
m64279e_221216_133213/65927/ccs	1469	55.28	34.94	4356_bc1005--bc1112
m64279e_221216_133213/66475/ccs	1471	55.27	76.11	4356_bc1005--bc1112
m64279e_221216_133213/66544/ccs	1498	53.07	93.00	4356_bc1005--bc1112
m64279e_221216_133213/66896/ccs/fwd	1483	54.08	38.90	4356_bc1005--bc1112
m64279e_221216_133213/66896/ccs/rev	1483	54.08	74.00	4356_bc1005--bc1112
m64279e_221216_133213/67240/ccs	1474	51.09	93.00	4356_bc1005--bc1112
m64279e_221216_133213/67412/ccs	1461	54.76	29.23	4356_bc1005--bc1112
m64279e_221216_133213/67839/ccs	1468	55.11	22.10	4356_bc1005--bc1112
m64279e_221216_133213/68132/ccs	1464	54.85	93.00	4356_bc1005--bc1112
m64279e_221216_133213/68414/ccs/fwd	1472	53.87	32.96	4356_bc1005--bc1112
m64279e_221216_133213/68414/ccs/rev	1475	53.69	28.49	4356_bc1005--bc1112
m64279e_221216_133213/131241/ccs	1474	51.02	58.41	4356_bc1005--bc1112
m64279e_221216_133213/132459/ccs	1474	51.09	93.00	4356_bc1005--bc1112
m64279e_221216_133213/132597/ccs/fwd	1496	52.81	33.92	4356_bc1005--bc1112
m64279e_221216_133213/132597/ccs/rev	1498	52.87	50.23	4356_bc1005--bc1112
